"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4155","Validates the Mobile Sql Injection scenario to confirm the expected application behavior for this input combination.","Surefire suite","Thu Feb 26 11:11:35 IST 2026","passed","Thu Feb 26 11:11:39 IST 2026","tests.LoginValidationTest","Surefire test","tests.LoginValidationTest","mobile_sql_injection"
"","12846","Validates the Missing At scenario to confirm the expected application behavior for this input combination.","Surefire suite","Thu Feb 26 11:00:44 IST 2026","passed","Thu Feb 26 11:00:57 IST 2026","tests.ForgotPasswordTest","Surefire test","tests.ForgotPasswordTest","missing_at"
"","3471","Validates the All Fields Empty scenario to confirm the expected application behavior for this input combination.","Surefire suite","Thu Feb 26 11:17:52 IST 2026","broken","Thu Feb 26 11:17:56 IST 2026","tests.RegisterFullFlowTest","Surefire test","tests.RegisterFullFlowTest","FF_06_AllFieldsEmpty"
"","8935","Validates the Leading Space scenario to confirm the expected application behavior for this input combination.","Surefire suite","Thu Feb 26 11:22:01 IST 2026","passed","Thu Feb 26 11:22:10 IST 2026","tests.RegisterMobileTest","Surefire test","tests.RegisterMobileTest","MB_08_LeadingSpace"
"","2671","Validates the Numeric scenario to confirm the expected application behavior for this input combination.","Surefire suite","Thu Feb 26 11:15:50 IST 2026","broken","Thu Feb 26 11:15:52 IST 2026","tests.RegisterFirstNameTest","Surefire test","tests.RegisterFirstNameTest","FN_02_Numeric"
"","8643","Validates the Dot At End scenario to confirm the expected application behavior for this input combination.","Surefire suite","Thu Feb 26 10:59:15 IST 2026","passed","Thu Feb 26 10:59:23 IST 2026","tests.ForgotPasswordTest","Surefire test","tests.ForgotPasswordTest","dot_at_end"
"","7748","Validates the No Dot In Domain scenario to confirm the expected application behavior for this input combination.","Surefire suite","Thu Feb 26 11:02:03 IST 2026","passed","Thu Feb 26 11:02:10 IST 2026","tests.ForgotPasswordTest","Surefire test","tests.ForgotPasswordTest","no_dot_in_domain"
"","2718","Validates the Valid Registered Email scenario to confirm the expected application behavior for this input combination.","Surefire suite","Thu Feb 26 11:05:38 IST 2026","passed","Thu Feb 26 11:05:41 IST 2026","tests.ForgotPasswordTest","Surefire test","tests.ForgotPasswordTest","valid_registered_email"
"","4873","Validates the No Number scenario to confirm the expected application behavior for this input combination.","Surefire suite","Thu Feb 26 11:23:14 IST 2026","broken","Thu Feb 26 11:23:19 IST 2026","tests.RegisterPasswordTest","Surefire test","tests.RegisterPasswordTest","PW_05_NoNumber"
"","8517","Validates the Email Trailing Space scenario to confirm the expected application behavior for this input combination.","Surefire suite","Thu Feb 26 11:08:47 IST 2026","passed","Thu Feb 26 11:08:56 IST 2026","tests.LoginValidationTest","Surefire test","tests.LoginValidationTest","email_trailing_space"
"","12915","Validates the Numeric Email scenario to confirm the expected application behavior for this input combination.","Surefire suite","Thu Feb 26 11:02:20 IST 2026","passed","Thu Feb 26 11:02:33 IST 2026","tests.ForgotPasswordTest","Surefire test","tests.ForgotPasswordTest","numeric_email"
"","2826","Validates the Trailing Space scenario to confirm the expected application behavior for this input combination.","Surefire suite","Thu Feb 26 11:16:51 IST 2026","broken","Thu Feb 26 11:16:54 IST 2026","tests.RegisterFirstNameTest","Surefire test","tests.RegisterFirstNameTest","FN_09_TrailingSpace"
"","9144","Validates the Email Missing At Symbol scenario to confirm the expected application behavior for this input combination.","Surefire suite","Thu Feb 26 11:07:00 IST 2026","passed","Thu Feb 26 11:07:09 IST 2026","tests.LoginValidationTest","Surefire test","tests.LoginValidationTest","email_missing_at_symbol"
"","12561","Validates the Leading Space scenario to confirm the expected application behavior for this input combination.","Surefire suite","Thu Feb 26 11:00:25 IST 2026","passed","Thu Feb 26 11:00:37 IST 2026","tests.ForgotPasswordTest","Surefire test","tests.ForgotPasswordTest","leading_space"
"","6902","Validates the Invalid Format scenario to confirm the expected application behavior for this input combination.","Surefire suite","Thu Feb 26 11:14:12 IST 2026","passed","Thu Feb 26 11:14:19 IST 2026","tests.RegisterEmailTest","Surefire test","tests.RegisterEmailTest","EM_06_InvalidFormat"
"","2807","Validates the Short scenario to confirm the expected application behavior for this input combination.","Surefire suite","Thu Feb 26 11:22:49 IST 2026","broken","Thu Feb 26 11:22:52 IST 2026","tests.RegisterPasswordTest","Surefire test","tests.RegisterPasswordTest","PW_02_Short"
"","8857","Validates the Trailing Space scenario to confirm the expected application behavior for this input combination.","Surefire suite","Thu Feb 26 11:04:41 IST 2026","broken","Thu Feb 26 11:04:49 IST 2026","tests.ForgotPasswordTest","Surefire test","tests.ForgotPasswordTest","trailing_space"
"","12132","Validates the Mobile Alphabets scenario to confirm the expected application behavior for this input combination.","Surefire suite","Thu Feb 26 11:09:56 IST 2026","passed","Thu Feb 26 11:10:08 IST 2026","tests.LoginValidationTest","Surefire test","tests.LoginValidationTest","mobile_alphabets"
